,translations,test:macos,test:linux,inkscape:windows:x64,inkscape:macos,appimage:linux,inkscape:linux
750,637.786966,198.534867,227.092211,4656.104601,735.198286,6535.656587,7139.116705
769,615.811105,179.882454,219.28028,1710.536272,285.588457,1306.502311,816.123924
824,597.154208,191.837176,228.40838,1732.957908,282.834517,1294.793054,935.72757
827,601.140969,194.936852,218.510157,483.599975,324.63608,1978.887617,1560.148499
831,605.075448,192.052332,218.423202,437.793404,283.626466,320.915037,772.214642
879,591.275489,193.166467,216.944904,1690.845617,281.392078,1236.570839,910.129252
880,89.312287,189.460156,236.694853,1692.575524,286.759889,1362.868901,914.446902
888,590.828087,193.153932,229.905971,1668.706118,283.948564,1359.744049,907.002643
892,634.194074,192.738322,211.522561,1666.854579,283.73282,1293.490611,856.188974
894,601.771346,191.899035,218.690165,1669.963713,284.152769,1295.773173,821.56741
895,604.335206,188.572958,217.40227,1659.186735,279.99915,1341.137704,880.49143
896,607.896867,191.414136,212.306916,1647.6524,280.66372,1365.084649,805.042557
897,607.459404,191.981986,209.424246,1666.939599,285.428221,1314.963666,920.382301
900,597.695389,190.370089,210.632209,1708.099764,283.798912,1282.231022,3916.136519
903,600.517956,191.572449,215.329338,58.30308,283.114464,1302.393451,3843.63793
904,593.864771,191.035714,227.455956,58.375801,282.21462,1321.138952,4060.032149
916,597.993823,192.791481,228.579128,47.74211,283.761789,1218.799348,868.397087
927,602.90385,192.18259,211.895074,4309.404343,282.680217,1412.258514,2473.278125
944,598.248923,190.58723,223.099114,917.25621,279.063297,1287.983511,834.395973
945,597.807953,191.580083,223.091392,918.455331,282.035574,1314.096183,815.922674
953,564.855345,193.343597,224.336456,920.495265,284.008866,1326.470101,844.010283
954,560.42407,180.859345,213.679822,1745.519002,287.291951,1442.377856,1016.922888
955,567.512407,189.758417,70.79023,1658.2202,284.357703,1299.517343,849.080465
961,554.116361,189.654574,229.015899,421.824187,285.938729,310.155844,858.215988
962,571.318914,188.859465,222.484157,428.6069,281.577593,320.981719,960.151613
